code,name,date,close,action,strength,reason
SZ002288,超华科技,2021-10-27,9.14,BUY_CHECK; BUY_EARLY; BUY_EARLY; SELL_MUST; ,8.0,"ma55 near ma21; cross over sma5; cross over sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 9.14 ,sma60 8.9725; macd dif less than 0; macd sig less than 0; "
SZ002290,禾盛新材,2021-10-27,7.52,BUY_CHECK; SELL_CHECK; SELL_EARLY; SELL_MUST; SELL_CHECK; SELL_CHECK; ,10.7,"macd dea_signal over 0 n days_28; close under sma60; cross down sma60; SZ002290 2021-10-27,SELL_MUST, cross down sma60 and  macd dif cross down 0, price expected to continue drop. close 7.52 ,sma60 7.954166666666667; macd dif cross down 0; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ002352,顺丰控股,2021-10-27,62.9,BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"macd dea_signal over 0 n days_23; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 62.9 ,sma60 61.894666666666666; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ002366,台海核电,2021-10-27,4.19,BUY_EARLY; SELL_MUST; SELL_CHECK; ,10.4,"cross over sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 4.19 ,sma60 4.143833333333333; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ002377,国创高新,2021-10-27,3.21,SELL_MUST; SELL_CHECK; ,1.0,"SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 3.21 ,sma60 3.1551666666666667; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ002384,东山精密,2021-10-27,20.9,BUY_CHECK; BUY_CHECK; SELL_MUST; BUY_CHECK; BUY_CHECK; BUY_CHECK; ,2.0,"macd historgram over 0 n days_1; ma55 near ma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 20.9 ,sma60 20.2105; macd dif cross over sig; macd cross over 0; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002386,天原股份,2021-10-27,14.1,BUY_CHECK; BUY_CHECK; BUY_CHECK; BUY_EARLY; SELL_MUST; BUY_CHECK; BUY_CHECK; ,6.4,"macd historgram over 0 n days_2; close great than 1.05 sma60; close great than 1.2 sma200; cross over sma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 14.1 ,sma60 13.346833333333334; macd dif cross over sig; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002392,北京利尔,2021-10-27,4.67,BUY_CHECK; BUY_CHECK; SELL_EARLY; SELL_MUST; BUY_CHECK; ,4.0,"macd historgram over 0 n days_2; ma55 near ma21; cross down sma5; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 4.67 ,sma60 4.6645; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002423,中粮资本,2021-10-27,8.65,BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"ma55 near ma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 8.65 ,sma60 8.551; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ002454,松芝股份,2021-10-27,8.07,BUY_CHECK; BUY_CHECK; BUY_CHECK; SELL_EARLY; BUY_EARLY; SELL_MUST; BUY_CHECK; ,1.4,"macd historgram over 0 n days_3; ma55 near ma21; close great than 1.2 sma200; cross down sma5; cross over sma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 8.07 ,sma60 7.7825; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
