code,name,roe_pe,roe,pe_ttm
SH601890,亚星锚链,0.04,2.8819,75.0219
SZ002731,萃华珠宝,0.04,2.3143,59.6481
SZ002650,加加食品,0.04,7.2039,200.4576
SZ002102,ST冠福,0.04,3.8607,86.6925
SZ002407,多氟多,0.04,1.6582,42.6496
SH600400,红豆股份,0.04,3.8323,93.7831
SZ300616,尚品宅配,0.04,2.8881,64.6894
SH600628,新世界,0.04,1.6326,36.857
SZ300228,富瑞特装,0.04,4.9619,123.0495
SH688518,联赢激光,0.04,5.7828,137.1178
SZ300241,瑞丰光电,0.04,3.9506,98.6273
SH603322,超讯通信,0.04,9.8798,226.0084
SZ300414,中光防雷,0.04,3.561,87.2362
SZ300346,南大光电,0.04,6.8555,165.9032
SZ300404,博济医药,0.04,3.9194,109.7719
SZ300402,宝色股份,0.04,6.0862,146.6971
SZ000862,银星能源,0.04,1.3001,36.2518
SZ000969,安泰科技,0.04,2.2815,56.2772
SH603139,康惠制药,0.04,3.4355,77.9597
SZ300217,东方电热,0.04,3.0802,87.9246
SH603101,汇嘉时代,0.04,1.1665,30.6033
SZ300235,方直科技,0.04,4.8891,130.4482
SZ000968,蓝焰控股,0.04,2.8511,80.4697
SH688510,航亚科技,0.04,8.9037,210.2422
SZ300382,斯莱克,0.04,6.3205,152.4907
SZ300288,朗玛信息,0.04,3.2935,74.0012
SH600854,春兰股份,0.04,1.9598,48.4448
SZ300315,掌趣科技,0.04,5.7211,161.9783
SH600753,东方银星,0.04,10.0343,264.3192
SZ300557,理工光科,0.04,2.729,64.4663
SH603117,万林物流,0.04,2.1109,56.4596
SZ300113,顺网科技,0.04,3.6376,83.9979
SH600851,海欣股份,0.04,2.9708,68.2806
SZ300568,星源材质,0.04,4.4702,124.5028
SH603286,日盈电子,0.04,3.1966,87.7331
SZ000821,京山轻机,0.04,2.6279,72.5195
SZ300120,经纬辉开,0.04,3.2222,91.522
SH603116,红蜻蜓,0.04,2.2938,58.6785
SZ002523,天桥起重,0.04,2.7256,65.8791
SZ300130,新国都,0.04,3.5461,96.798
SZ300131,英唐智控,0.04,16.9497,388.7534
SZ300281,金明精机,0.04,2.9617,66.1313
SZ002036,联创电子,0.04,5.5243,157.2954
SH603138,海量数据,0.04,6.8924,175.3374
SZ300319,麦捷科技,0.03,1.7181,62.0052
SH603693,江苏新能,0.03,3.3252,105.8387
SZ300321,同大股份,0.03,3.1548,97.7968
SH600520,文一科技,0.03,2.2195,79.5167
SZ000301,东方盛虹,0.03,2.0044,75.1207
SZ300500,启迪设计,0.03,2.569,74.7481
SZ002307,北新路桥,0.03,2.3375,86.9979
SZ002333,罗普斯金,0.03,2.0995,63.6531
SZ002330,得利斯,0.03,2.1702,72.248
SH688589,力合微,0.03,5.6848,192.9034
SZ002350,北京科锐,0.03,3.0107,86.0208
SZ000416,民生控股,0.03,3.927,134.6711
SZ002767,先锋电子,0.03,2.8054,102.117
SZ002288,超华科技,0.03,1.3577,51.3443
SH601399,国机重装,0.03,2.6988,86.4516
SZ002278,神开股份,0.03,2.5006,97.1722
SH603398,邦宝益智,0.03,5.2514,175.758
SH600711,盛屯矿业,0.03,0.601,23.366
SZ002347,泰尔股份,0.03,2.3082,70.3856
SH688025,杰普特,0.03,2.7816,98.4199
SZ300331,苏大维格,0.03,3.4429,124.9724
SZ002703,浙江世宝,0.03,3.0891,106.1285
SZ002544,杰赛科技,0.03,3.4421,108.7462
SH600439,瑞贝卡,0.03,1.354,46.4432
SH600435,北方导航,0.03,2.8564,101.4372
SH600992,贵绳股份,0.03,2.1151,66.8949
SH601608,中信重工,0.03,2.6971,88.3015
SH600478,科力远,0.03,2.1879,72.9531
SZ000045,深纺织A,0.03,1.3567,49.0533
SH603106,恒银科技,0.03,2.0092,74.8067
SZ002594,比亚迪,0.03,7.4523,241.2715
SZ300411,金盾股份,0.03,2.4074,91.8597
SH600728,佳都科技,0.03,1.7802,55.0509
SZ002418,康盛股份,0.03,2.0626,67.6896
SH603787,新日股份,0.03,10.1924,322.6977
SH600501,航天晨光,0.03,2.0922,75.4572
SH600082,海泰发展,0.03,1.9114,71.9803
SH600387,ST海越,0.03,2.2894,85.8389
SZ300365,恒华科技,0.03,3.8971,148.4205
SH603200,上海洗霸,0.03,4.424,157.0095
SZ300707,威唐工业,0.03,4.659,142.9751
SZ300779,惠城环保,0.03,4.1091,121.5676
SH600769,祥龙电业,0.03,9.1171,347.5239
SH601958,金钼股份,0.03,1.4319,45.8889
SH600467,好当家,0.03,1.915,61.1741
SH600573,惠泉啤酒,0.03,2.4963,78.9527
SZ002857,三晖电气,0.03,4.7848,158.2534
SZ300809,华辰装备,0.03,2.415,73.0713
SZ300163,先锋新材,0.03,3.0889,105.2601
SZ002033,丽江股份,0.03,2.7565,97.2088
SZ300177,中海达,0.03,4.9123,147.8774
SZ300637,扬帆新材,0.03,3.6033,126.3596
SH600259,广晟有色,0.03,2.9524,113.014
SZ002095,生意宝,0.03,4.1135,124.665
SH600831,广电网络,0.03,1.6495,58.4227
SH603318,水发燃气,0.03,2.5165,78.2757
SH601162,天风证券,0.03,3.0752,90.1429
SH603077,和邦生物,0.03,0.366,13.7573
SZ300626,华瑞股份,0.03,2.1434,76.7732
SH600703,三安光电,0.03,3.9531,113.4386
SZ300202,*ST聚龙,0.03,2.9454,96.683
SZ002123,梦网科技,0.03,2.343,92.8916
SZ300810,中科海讯,0.03,2.1177,79.4422
SZ002160,常铝股份,0.03,0.7287,22.7407
SZ002125,湘潭电化,0.03,1.7045,65.4037
SH600776,东方通信,0.03,3.2779,118.7637
SZ300467,迅游科技,0.03,3.6848,116.2172
SH600130,波导股份,0.03,3.7259,111.7648
SZ300001,特锐德,0.03,4.3752,156.4648
SZ300245,天玑科技,0.03,2.6755,81.1505
SH600893,航发动力,0.03,3.5375,126.9628
SZ002820,桂发祥,0.03,2.34,71.2634
SZ300798,锦鸡股份,0.03,1.888,62.1534
SZ300527,中船应急,0.03,3.1863,103.6865
SH600647,同达创业,0.03,3.9835,124.011
SZ300831,派瑞股份,0.03,4.751,159.3236
SH603390,通达电气,0.03,2.707,100.1663
SZ300277,海联讯,0.03,5.2277,197.029
SZ000899,赣能股份,0.03,6.4585,237.5531
SH601991,大唐发电,0.03,4.4113,153.9435
SZ300651,金陵体育,0.03,4.4386,150.5291
SH600708,光明地产,0.03,0.7564,22.0646
SZ300538,同益股份,0.03,4.883,141.7077
SZ300539,横河精密,0.03,2.9411,86.1977
SZ002251,步步高,0.03,1.5022,50.0802
SH688010,福光股份,0.03,2.847,85.8269
SZ002099,海翔药业,0.02,5.5235,366.9895
SZ002515,金字火腿,0.02,4.4928,224.1044
SZ002446,盛路通信,0.02,6.1981,298.2206
SH600696,岩石股份,0.02,2.8409,143.9537
SZ002472,双环传动,0.02,1.4306,81.2716
SH603869,新智认知,0.02,0.4283,22.3876
SZ002006,精功科技,0.02,3.0715,137.5727
SH600482,中国动力,0.02,1.7203,87.68
SZ002453,华软科技,0.02,3.0732,200.3233
SZ000729,燕京啤酒,0.02,1.4932,77.5782
SZ002093,国脉科技,0.02,2.4049,128.5956
SZ002148,北纬科技,0.02,1.3927,57.7361
SZ002041,登海种业,0.02,3.5593,153.8867
SH688037,芯源微,0.02,6.2863,283.7079
SH688313,仕佳光子,0.02,4.1833,191.0716
SZ002268,卫士通,0.02,3.4869,164.6802
SZ000536,华映科技,0.02,11.8014,507.2273
SZ000158,常山北明,0.02,1.6986,92.2467
SZ002250,联化科技,0.02,1.8442,105.3441
SH600716,凤凰股份,0.02,1.0033,48.5516
SZ000504,南华生物,0.02,36.2565,1562.2189
SZ002249,大洋电机,0.02,1.3242,68.6247
SH600536,中国软件,0.02,2.9771,149.5457
SH600773,西藏城投,0.02,3.1429,173.7288
SH600775,南京熊猫,0.02,2.2226,143.4364
SZ002326,永太科技,0.02,3.6685,172.5393
SZ000856,冀东装备,0.02,1.3065,78.2301
SZ000637,茂化实华,0.02,1.5723,75.0973
SZ000838,财信发展,0.02,5.8747,331.2262
SZ002205,国统股份,0.02,1.9173,77.4063
SZ002201,正威新材,0.02,3.591,183.2578
SZ002363,隆基机械,0.02,2.0534,116.8846
SZ000155,川能动力,0.02,4.2536,194.66
SH600718,东软集团,0.02,1.5341,98.1501
SZ002198,嘉应制药,0.02,2.9474,161.8343
SH600509,天富能源,0.02,0.8039,53.3997
SZ000816,智慧农业,0.02,2.589,132.1591
SZ000815,美利云,0.02,2.3005,101.5202
SH688215,瑞晟智能,0.02,5.7631,292.5344
SH600725,云维股份,0.02,5.1875,274.4008
SH600767,运盛医疗,0.02,4.4018,277.5408
SH600576,祥源文化,0.02,1.8706,113.356
SH600864,哈投股份,0.02,1.3999,70.9991
SH600882,妙可蓝多,0.02,4.3078,199.5668
SH688286,敏芯股份,0.02,6.1807,284.2874
SH600785,新华百货,0.02,1.8268,81.6968
SH600539,狮头股份,0.02,2.6814,114.2121
SZ300106,西部牧业,0.02,2.0878,117.2856
SH600460,士兰微,0.02,1.9803,102.7017
SZ002715,登云股份,0.02,3.0621,142.6066
SZ300062,中能电气,0.02,1.7227,102.9502
SZ300057,万顺新材,0.02,2.1952,126.1785
SZ300490,华自科技,0.02,1.7116,104.0261
SZ300017,网宿科技,0.02,2.5396,103.5241
SH600238,海南椰岛,0.02,4.4769,196.2614
SH600010,包钢股份,0.02,0.7696,35.2954
SH603586,金麒麟,0.02,7.4915,460.8305
SH603595,东尼电子,0.02,4.4091,253.5176
SZ300520,科大国创,0.02,2.7817,120.4805
SH600272,开开实业,0.02,2.6523,113.1291
SH600279,重庆港,0.02,1.6167,85.6418
