code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SH600649,城投控股,20211231,-12678714607.79,897338459.07,1732094797.54,-3943095360.09,-12678714607.79,1107147139.5,4484552132.76,0.0,1098806901.95,3604405783.76,0.0,0.0
SH600650,锦江在线,20211231,107470277.46,146915579.18,-181001989.99,-146174773.57,107470277.46,174086522.78,114620116.03,0.0,315961713.06,1090702165.81,0.0,0.0
SH600653,申华控股,20211231,429737976.91,140909253.55,473480467.31,-930351053.3,429737976.91,163506794.26,86498473.47,0.0,31571368.75,346277079.48,0.0,64789510.85
SH600657,信达地产,20211231,2711787986.7,844858272.66,-9027112754.47,-4106583799.69,2711787986.7,988392123.61,4305296545.6,3070000.0,2372373309.39,12227806258.86,0.0,81838384.86
SH600660,福耀玻璃,20211231,5677009641.0,3142980793.0,-1862678315.0,1951817730.0,5677009641.0,4311233501.0,1524955089.0,38888270.0,160746854.0,14327356262.0,0.0,154940513.0
SH600673,东阳光,20211231,1863734158.75,550728616.17,-721885822.39,-1912259484.26,1863734158.75,1854268080.09,1477565561.62,0.0,1863208762.75,4654371840.71,19516510.72,1595616.68
SH600676,交运股份,20211231,458373467.63,-23592552.36,-63567370.82,-535102947.61,458373467.63,1470806348.14,1130449274.25,126013235.97,40931138.84,1801329118.86,0.0,0.0
SH600684,珠江股份,20211231,-731784694.7,25472615.29,31364791.33,10473585.71,-731784694.7,60499273.14,769239004.93,0.0,1548045577.36,3594636177.18,0.0,328791.01
SH600685,中船防务,20211231,4365184193.57,104189291.66,-3381941892.1,-1265815567.34,4365184193.57,1077732663.76,5851878752.31,82331260.05,94550370.96,9560403363.57,0.0,0.0
SH600690,海尔智家,20211231,23129640417.72,13217067178.51,-8066823538.43,-15641428143.57,23129640417.72,14631018397.43,42344857144.49,13354791068.29,1660702724.43,45857170275.4,227892229.13,21827103060.76
SH600713,南京医药,20211231,695330717.04,610551837.29,-224518366.79,30848943.79,695330717.04,10809871955.63,5503027298.23,2500976959.0,0.0,2093320911.72,0.0,72166924.65
SH600717,天津港,20211231,2778025908.29,1378365356.56,-157746909.27,-2463631633.58,2778025908.29,1494562043.05,2379093476.85,110569899.14,27613201.01,4772238293.17,0.0,0.0
