code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ002811,郑中设计,20181231,-23924646.71,114222658.9,-181535211.73,39373681.99,-23924646.71,1581964595.05,578009884.13,80231810.18,97211994.21,392294226.88,0.0,0.0
SZ002812,恩捷股份,20181231,171020949.81,680343857.27,-1147820050.89,783983750.78,171020949.81,1230782697.45,373895312.46,339840997.52,6183480.69,314208776.19,0.0,34483188.64
SZ002813,路畅科技,20181231,-240941136.85,11629005.82,108235806.59,-70434686.45,-240941136.85,300077113.73,334958732.95,108876404.17,276592131.0,150931639.62,28782129.89,0.0
SZ002819,东方中科,20181231,-136319494.7,55597590.55,73286083.42,99293454.71,-136319494.7,134496831.91,76341391.51,16933859.06,80241439.72,207237788.76,0.0,0.0
SZ002822,中装建设,20181231,-245506536.65,165078274.06,-247692366.58,245737016.12,-245506536.65,2789106942.22,588135857.55,47742808.9,73262386.57,1086445701.82,0.0,144882.75
SZ002824,和胜股份,20181231,-37793205.77,19084530.12,-90964257.08,138938680.17,-37793205.77,287421894.07,125918324.85,33163931.78,5277005.6,51801789.8,0.0,7311862.43
SZ002829,星网宇达,20181231,-50854382.65,43654091.79,-44153634.3,33562144.02,-50854382.65,393397626.73,130795749.45,49199000.0,7466073.3,162823760.27,0.0,288177954.8
SZ002835,同为股份,20181231,-33792987.43,3969263.69,4669170.98,60099954.11,-33792987.43,156065318.84,91774214.41,444265.0,4634598.7,275300267.95,0.0,0.0
SZ002837,英维克,20181231,-218757078.09,108498700.65,-168656651.47,234908681.9,-218757078.09,602909841.55,317744288.08,109200420.94,33626892.48,341035830.28,0.0,248549551.43
SZ002838,道恩股份,20181231,30426515.09,124429755.53,-204042308.73,176057140.09,30426515.09,410304806.55,143885797.96,114014617.23,2102046.57,143522745.71,4674064.79,26927490.68
SZ002839,张家港行,20181231,-3796034671.7,817741745.01,-744936328.75,2087289824.28,-3796034671.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ002848,高斯贝尔,20181231,-55034641.26,-74378519.88,43832974.72,-33021190.61,-55034641.26,487176245.45,304084586.17,864297.84,19707406.5,45910439.64,0.0,0.0
SZ002849,威星智能,20181231,33960924.99,78051317.02,-30899041.04,55053781.34,33960924.99,407934236.43,468831910.31,34555062.62,6791591.8,359038262.0,0.0,0.0
SZ002851,麦格米特,20181231,-94873584.64,257574729.45,132358311.83,-52679882.49,-94873584.64,690343034.12,862396551.49,509266246.71,12517308.87,151200740.27,0.0,46755357.72
SZ002853,皮阿诺,20181231,10347984.03,139650943.51,256358286.91,-17365937.25,10347984.03,76411916.31,181245844.99,266779573.95,9193583.46,397791668.28,0.0,0.0
SZ002856,美芝股份,20181231,-272074264.48,26522710.53,-10773511.16,58622080.68,-272074264.48,830637820.08,439734374.41,1108386.1,46094559.12,218221043.76,813675.21,0.0
SZ002858,力盛赛车,20181231,5751832.7,42121853.17,52311020.82,37321592.83,5751832.7,180177881.18,53655757.18,600000.0,6347751.79,172893871.35,0.0,25109214.45
SZ002861,瀛通通讯,20181231,7449316.77,63323983.12,-41260579.2,-76978100.93,7449316.77,321910372.55,245182639.06,2892381.77,13838138.59,219931926.16,0.0,72028415.83
SZ002862,实丰文化,20181231,13685718.72,31968364.63,23445417.38,-5974110.55,13685718.72,108163973.25,21203764.26,0.0,646194.2,183967647.35,0.0,0.0
SZ002865,钧达股份,20181231,-90912738.37,41831683.06,-104631133.64,407597145.89,-90912738.37,243597309.5,316756898.57,143109520.39,10403907.95,416253739.89,0.0,0.0
SZ002866,传艺科技,20181231,25535089.48,96301421.78,-243786369.4,251054762.95,25535089.48,485747215.73,296705344.65,11778089.42,10222488.47,265396060.38,0.0,95796391.63
SZ002867,周大生,20181231,366578710.63,806112919.84,-865379617.09,393797525.61,366578710.63,82964793.93,637488755.22,300000.0,14859109.55,1085675306.42,0.0,0.0
